08:48:20.791 -> Enter current location (##): 7
08:48:22.366 -> Enter current direction: WEST
08:48:23.875 -> Enter a destination: 2
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 North -> 1 North -> NA
08:48:26.442 -> Result: 7 West -> 0 North -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 South -> 2 South -> NA
08:48:26.442 -> Result: 7 West -> 0 South -> 2 South -> NA
08:48:26.442 -> MOVING West Turning West
08:48:26.442 -> Setting turn
08:48:26.442 -> Setting speed
08:48:26.442 -> Set Speeed
08:48:26.737 -> Front: 1490   |   RIGHT OFFSET: 0
08:48:26.993 -> Front: 1625   |   RIGHT OFFSET: 0
08:48:27.274 -> Front: 1612   |   RIGHT OFFSET: 4
08:48:27.546 -> Front: 1592   |   RIGHT OFFSET: 8
08:48:27.811 -> Front: 1548   |   RIGHT OFFSET: 12
08:48:28.107 -> Front: 1660   |   RIGHT OFFSET: 12
08:48:28.374 -> Front: 1942   |   RIGHT OFFSET: -3
08:48:28.664 -> Front: 2178   |   RIGHT OFFSET: -3
08:48:28.964 -> Front: 2400   |   RIGHT OFFSET: -4
08:48:29.235 -> Front: 2526   |   RIGHT OFFSET: -5
08:48:29.491 -> Front: 2642   |   RIGHT OFFSET: -6
08:48:29.764 -> Front: 2628   |   RIGHT OFFSET: -5
08:48:30.082 -> Front: 2576   |   RIGHT OFFSET: -4
08:48:30.364 -> Front: 2540   |   RIGHT OFFSET: -3
08:48:30.600 -> Front: 2408   |   RIGHT OFFSET: -2
08:48:30.924 -> Front: 2342   |   RIGHT OFFSET: -1
08:48:31.177 -> Front: 2257   |   RIGHT OFFSET: 0
08:48:31.454 -> Front: 2213   |   RIGHT OFFSET: 2
08:48:31.734 -> Front: 2291   |   RIGHT OFFSET: 1
08:48:31.993 -> Front: 2377   |   RIGHT OFFSET: 0
08:48:32.303 -> Front: 2432   |   RIGHT OFFSET: -1
08:48:32.554 -> Front: 2490   |   RIGHT OFFSET: -2
08:48:32.865 -> Front: 2512   |   RIGHT OFFSET: -3
08:48:33.132 -> Front: 2633   |   RIGHT OFFSET: -4
08:48:33.398 -> Front: 2644   |   RIGHT OFFSET: -5
08:48:33.697 -> Front: 2637   |   RIGHT OFFSET: -4
08:48:33.967 -> Front: 2597   |   RIGHT OFFSET: -3
08:48:34.239 -> Front: 2578   |   RIGHT OFFSET: -2
08:48:34.515 -> Front: 2499   |   RIGHT OFFSET: -1
08:48:34.824 -> Front: 2394   |   RIGHT OFFSET: 0
08:48:35.112 -> Front: 2283   |   RIGHT OFFSET: 1
08:48:35.384 -> Front: 2309   |   RIGHT OFFSET: 0
08:48:35.661 -> Front: 2270   |   RIGHT OFFSET: 1
08:48:35.917 -> Front: 2398   |   RIGHT OFFSET: 0
08:48:36.220 -> Front: 2530   |   RIGHT OFFSET: -1
08:48:36.489 -> Front: 2634   |   RIGHT OFFSET: -2
08:48:36.772 -> Front: 2677   |   RIGHT OFFSET: -3
08:48:37.048 -> Front: 2833   |   RIGHT OFFSET: -5
08:48:37.351 -> Front: 2834   |   RIGHT OFFSET: -7
08:48:37.615 -> Front: 2886   |   RIGHT OFFSET: -9
08:48:37.881 -> Front: 2843   |   RIGHT OFFSET: -9
08:48:38.145 -> Front: 2668   |   RIGHT OFFSET: -8
08:48:38.443 -> Front: 2409   |   RIGHT OFFSET: -5
08:48:38.698 -> Front: 2262   |   RIGHT OFFSET: -4
08:48:38.965 -> Front: 2136   |   RIGHT OFFSET: -2
08:48:39.242 -> Front: 2061   |   RIGHT OFFSET: 0
08:48:39.536 -> Front: 2266   |   RIGHT OFFSET: -30
08:48:39.806 -> Front: 2396   |   RIGHT OFFSET: -30
08:48:40.081 -> Front: 2375   |   RIGHT OFFSET: -30
08:48:40.355 -> Front: 1958   |   RIGHT OFFSET: -9
08:48:40.614 -> Front: 1433   |   RIGHT OFFSET: -5
08:48:40.902 -> Front: 1096   |   RIGHT OFFSET: 30
08:48:42.213 -> Front: 590   |   RIGHT OFFSET: 30
08:48:42.490 -> Front: 586   |   RIGHT OFFSET: 30
08:48:42.763 -> Front: 570   |   RIGHT OFFSET: 30
08:48:43.047 -> Front: 471   |   RIGHT OFFSET: 30
08:48:43.302 -> Front: 650   |   RIGHT OFFSET: 30
08:48:43.578 -> Front: 372   |   RIGHT OFFSET: 30
08:48:43.852 -> Front: 425   |   RIGHT OFFSET: 30
08:48:44.135 -> Front: 537   |   RIGHT OFFSET: 30
08:48:44.410 -> Front: 770   |   RIGHT OFFSET: 30
08:48:44.689 -> Front: 900   |   RIGHT OFFSET: 30
08:48:44.962 -> Front: 1615   |   RIGHT OFFSET: 9
08:48:45.233 -> Front: 2125   |   RIGHT OFFSET: -2
08:48:45.532 -> Front: 2515   |   RIGHT OFFSET: -5
08:48:45.809 -> Front: 2788   |   RIGHT OFFSET: -7
08:48:46.077 -> Front: 3039   |   RIGHT OFFSET: -9
08:48:46.393 -> Front: 3277   |   RIGHT OFFSET: -13
08:48:46.653 -> Front: 3365   |   RIGHT OFFSET: -17
08:48:46.936 -> Front: 3277   |   RIGHT OFFSET: -17
08:48:47.205 -> Front: 3220   |   RIGHT OFFSET: -17
08:48:47.496 -> Front: 3078   |   RIGHT OFFSET: -17
08:48:47.794 -> Front: 2963   |   RIGHT OFFSET: -17
08:48:48.072 -> Front: 2813   |   RIGHT OFFSET: -17
08:48:48.346 -> Front: 2684   |   RIGHT OFFSET: -30
08:48:48.627 -> Front: 2553   |   RIGHT OFFSET: -30
08:48:48.917 -> Front: 2351   |   RIGHT OFFSET: -30
08:48:49.216 -> Front: 2164   |   RIGHT OFFSET: -9
08:48:49.493 -> Front: 1890   |   RIGHT OFFSET: -5
08:48:49.754 -> Front: 1686   |   RIGHT OFFSET: -1
08:48:50.056 -> Front: 1583   |   RIGHT OFFSET: 3
08:48:50.301 -> Front: 1595   |   RIGHT OFFSET: 3
08:48:50.575 -> Front: 1641   |   RIGHT OFFSET: 3
08:48:50.866 -> Front: 1699   |   RIGHT OFFSET: 3
08:48:51.149 -> Front: 1766   |   RIGHT OFFSET: 3
08:48:51.438 -> Front: 1927   |   RIGHT OFFSET: 3
08:48:51.736 -> Front: 2041   |   RIGHT OFFSET: 3
08:48:52.010 -> Front: 2179   |   RIGHT OFFSET: 3
08:48:52.258 -> Front: 2360   |   RIGHT OFFSET: 2
08:48:52.546 -> Front: 2569   |   RIGHT OFFSET: 1
08:48:52.840 -> Front: 2713   |   RIGHT OFFSET: 0
08:48:53.102 -> Front: 2821   |   RIGHT OFFSET: -2
08:48:53.373 -> Front: 3069   |   RIGHT OFFSET: -4
08:48:53.668 -> Front: 3174   |   RIGHT OFFSET: -8
08:48:53.969 -> Front: 3210   |   RIGHT OFFSET: -12
08:48:54.240 -> Front: 3251   |   RIGHT OFFSET: -16
08:48:54.510 -> Front: 3247   |   RIGHT OFFSET: -16
08:48:54.801 -> Front: 3123   |   RIGHT OFFSET: -16
08:48:55.057 -> Front: 2922   |   RIGHT OFFSET: -16
